127.0.0.1 - - [10/Jan/2024:11:12:31 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:12:39 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:12:39 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:12:49 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:13:14 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:13:21 +0900] "GET /MustHaveJSP/mvcboard/default.do HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:14:00 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 3192
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:14:01 +0900] "GET /MustHaveJSP/mvcboard/default.do HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:14:04 +0900] "GET /MustHaveJSP/mvcboard/list.do HTTP/1.1" 200 4362
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:14:11 +0900] "GET /MustHaveJSP/mvcboard/default.do HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:19:06 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 3171
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:20:11 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 37241
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:20:16 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:34:02 +0900] "GET /MustHaveJSP/Common/Link.jsp HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:07 +0900] "GET /MustHaveJSP/Common/Link.jsp HTTP/1.1" 200 2970
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:09 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 8045
0:0:0:0:0:0:0:1 - - [10/Jan/2024:11:37:17 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 3742
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:17:13 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4218
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:48:26 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4196
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:51:40 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4322
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:55:03 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4206
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:55:08 +0900] "POST /MustHaveJSP/06Session/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:55:08 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:58:31 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 3600
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:58:32 +0900] "GET /MustHaveJSP/06Session/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:58:32 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [10/Jan/2024:12:58:41 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4302
0:0:0:0:0:0:0:1 - - [10/Jan/2024:13:03:39 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4301
0:0:0:0:0:0:0:1 - - [10/Jan/2024:13:09:48 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4343
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:05:13 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4343
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:06:33 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 8063
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:07:00 +0900] "GET /MustHaveJSP/09PagingBoard/List.jsp HTTP/1.1" 200 8063
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:07:03 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4343
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:17:39 +0900] "GET /MustHaveJSP/14MVCBoard/Default.jsp HTTP/1.1" 200 543
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:17:40 +0900] "GET /MustHaveJSP/mvcboard/list.do HTTP/1.1" 200 4362
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:20:13 +0900] "GET /MustHaveJSP/mvcboard HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:21:14 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4389
0:0:0:0:0:0:0:1 - - [10/Jan/2024:14:21:55 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 4383
